iri	VeryPositive	Positive	Neutral	Negative	VeryNegative
http://purl.obolibrary.org/obo/DOID_11289	3.0	7.0	18.0	56.0	16.0
http://purl.obolibrary.org/obo/DOID_11289	1.0	2.0	17.0	69.0	11.0
http://purl.obolibrary.org/obo/DOID_10652	3.0	3.0	12.0	46.0	35.0
http://purl.obolibrary.org/obo/DOID_9445	4.0	6.0	14.0	56.0	20.0
http://purl.obolibrary.org/obo/DOID_1752	14.0	39.0	17.0	22.0	7.0
http://purl.obolibrary.org/obo/DOID_0080468	2.0	3.0	19.0	55.0	21.0
http://purl.obolibrary.org/obo/DOID_0111188	1.0	4.0	30.0	54.0	10.0
http://purl.obolibrary.org/obo/DOID_0070213	1.0	2.0	18.0	62.0	17.0
http://purl.obolibrary.org/obo/DOID_0080618	3.0	5.0	14.0	62.0	16.0
http://purl.obolibrary.org/obo/DOID_0110397	1.0	3.0	21.0	63.0	13.0
http://purl.obolibrary.org/obo/DOID_12700	1.0	4.0	19.0	63.0	12.0
http://purl.obolibrary.org/obo/DOID_0110555	2.0	2.0	13.0	64.0	20.0
http://purl.obolibrary.org/obo/DOID_0060175	4.0	4.0	12.0	55.0	25.0
http://purl.obolibrary.org/obo/DOID_9784	2.0	5.0	19.0	58.0	16.0
http://purl.obolibrary.org/obo/DOID_9784	3.0	4.0	11.0	62.0	21.0
http://purl.obolibrary.org/obo/DOID_9784	1.0	1.0	8.0	45.0	44.0
http://purl.obolibrary.org/obo/DOID_9784	4.0	11.0	23.0	52.0	10.0
http://purl.obolibrary.org/obo/DOID_0111665	1.0	3.0	23.0	60.0	12.0
http://purl.obolibrary.org/obo/DOID_204	1.0	2.0	21.0	58.0	18.0
http://purl.obolibrary.org/obo/DOID_0070218	1.0	3.0	20.0	57.0	19.0
http://purl.obolibrary.org/obo/DOID_0050125	1.0	0.0	4.0	31.0	64.0
http://purl.obolibrary.org/obo/DOID_0050125	2.0	2.0	10.0	60.0	26.0
http://purl.obolibrary.org/obo/DOID_0050125	1.0	1.0	21.0	60.0	17.0
http://purl.obolibrary.org/obo/DOID_0050125	1.0	2.0	14.0	68.0	15.0
http://purl.obolibrary.org/obo/DOID_0110746	2.0	10.0	35.0	46.0	7.0
http://purl.obolibrary.org/obo/DOID_1176	1.0	2.0	9.0	63.0	25.0
http://purl.obolibrary.org/obo/DOID_0050634	1.0	5.0	31.0	54.0	9.0
http://purl.obolibrary.org/obo/DOID_0060269	1.0	0.0	8.0	34.0	57.0
http://purl.obolibrary.org/obo/DOID_0080826	1.0	2.0	17.0	60.0	20.0
http://purl.obolibrary.org/obo/DOID_0080826	1.0	3.0	15.0	63.0	18.0
http://purl.obolibrary.org/obo/DOID_0080826	1.0	1.0	12.0	48.0	38.0
http://purl.obolibrary.org/obo/DOID_0090008	1.0	1.0	15.0	54.0	28.0
http://purl.obolibrary.org/obo/DOID_0111543	1.0	2.0	14.0	55.0	29.0
http://purl.obolibrary.org/obo/DOID_0060430	2.0	2.0	11.0	58.0	28.0
http://purl.obolibrary.org/obo/DOID_0111079	2.0	4.0	23.0	58.0	14.0
http://purl.obolibrary.org/obo/DOID_0050839	2.0	2.0	12.0	52.0	33.0
http://purl.obolibrary.org/obo/DOID_0070214	1.0	2.0	16.0	63.0	18.0
http://purl.obolibrary.org/obo/DOID_0111016	2.0	4.0	25.0	58.0	11.0
http://purl.obolibrary.org/obo/DOID_0060275	1.0	1.0	11.0	59.0	27.0
http://purl.obolibrary.org/obo/DOID_9778	1.0	1.0	11.0	57.0	30.0
http://purl.obolibrary.org/obo/DOID_0111804	1.0	1.0	13.0	56.0	29.0
http://purl.obolibrary.org/obo/DOID_0111044	1.0	1.0	17.0	52.0	29.0
http://purl.obolibrary.org/obo/DOID_0060436	3.0	7.0	23.0	54.0	13.0
http://purl.obolibrary.org/obo/DOID_0080323	4.0	18.0	37.0	35.0	6.0
http://purl.obolibrary.org/obo/DOID_0060736	1.0	0.0	5.0	56.0	37.0
http://purl.obolibrary.org/obo/DOID_0060521	1.0	6.0	45.0	44.0	5.0
http://purl.obolibrary.org/obo/DOID_0111700	1.0	1.0	15.0	50.0	32.0
http://purl.obolibrary.org/obo/DOID_0060394	1.0	1.0	10.0	42.0	47.0
http://purl.obolibrary.org/obo/DOID_0111936	1.0	2.0	24.0	64.0	10.0
http://purl.obolibrary.org/obo/DOID_14755	2.0	2.0	11.0	58.0	28.0
http://purl.obolibrary.org/obo/DOID_0112225	2.0	1.0	10.0	41.0	46.0
http://purl.obolibrary.org/obo/DOID_3350	6.0	26.0	29.0	32.0	7.0
http://purl.obolibrary.org/obo/DOID_0111849	1.0	2.0	13.0	57.0	26.0
http://purl.obolibrary.org/obo/DOID_1443	1.0	0.0	8.0	58.0	33.0
http://purl.obolibrary.org/obo/DOID_0050513	1.0	1.0	17.0	61.0	21.0
http://purl.obolibrary.org/obo/DOID_0050513	2.0	3.0	12.0	63.0	21.0
http://purl.obolibrary.org/obo/DOID_0080385	1.0	3.0	20.0	61.0	15.0
http://purl.obolibrary.org/obo/DOID_0080489	1.0	2.0	17.0	67.0	13.0
http://purl.obolibrary.org/obo/DOID_11746	4.0	13.0	30.0	43.0	9.0
http://purl.obolibrary.org/obo/DOID_2272	2.0	6.0	23.0	58.0	11.0
http://purl.obolibrary.org/obo/DOID_2272	3.0	12.0	27.0	47.0	10.0
http://purl.obolibrary.org/obo/DOID_12241	1.0	5.0	34.0	52.0	8.0
http://purl.obolibrary.org/obo/DOID_0090063	1.0	2.0	20.0	62.0	15.0
http://purl.obolibrary.org/obo/DOID_0110954	2.0	3.0	16.0	62.0	17.0
http://purl.obolibrary.org/obo/DOID_5204	1.0	1.0	10.0	64.0	25.0
http://purl.obolibrary.org/obo/DOID_0080327	2.0	2.0	11.0	49.0	37.0
http://purl.obolibrary.org/obo/DOID_8771	2.0	1.0	7.0	48.0	41.0
http://purl.obolibrary.org/obo/DOID_8771	11.0	45.0	26.0	14.0	4.0
http://purl.obolibrary.org/obo/DOID_4926	2.0	4.0	19.0	59.0	16.0
http://purl.obolibrary.org/obo/DOID_0080531	1.0	2.0	16.0	66.0	15.0
http://purl.obolibrary.org/obo/DOID_60003	3.0	9.0	23.0	55.0	10.0
http://purl.obolibrary.org/obo/DOID_0080617	3.0	13.0	28.0	47.0	8.0
http://purl.obolibrary.org/obo/DOID_0111900	1.0	1.0	11.0	65.0	23.0
http://purl.obolibrary.org/obo/DOID_0111519	1.0	1.0	14.0	50.0	34.0
http://purl.obolibrary.org/obo/DOID_5598	3.0	5.0	16.0	59.0	17.0
http://purl.obolibrary.org/obo/DOID_0070111	1.0	2.0	15.0	60.0	21.0
http://purl.obolibrary.org/obo/DOID_5551	6.0	17.0	23.0	43.0	11.0
http://purl.obolibrary.org/obo/DOID_0060301	1.0	1.0	13.0	35.0	50.0
http://purl.obolibrary.org/obo/DOID_4650	12.0	59.0	19.0	8.0	2.0
http://purl.obolibrary.org/obo/DOID_0060414	3.0	7.0	23.0	54.0	13.0
http://purl.obolibrary.org/obo/DOID_0050476	2.0	2.0	10.0	58.0	30.0
http://purl.obolibrary.org/obo/DOID_0110662	2.0	4.0	20.0	57.0	17.0
http://purl.obolibrary.org/obo/DOID_0111706	1.0	1.0	14.0	53.0	30.0
http://purl.obolibrary.org/obo/DOID_11195	2.0	4.0	17.0	62.0	15.0
http://purl.obolibrary.org/obo/DOID_0050459	1.0	1.0	15.0	49.0	34.0
http://purl.obolibrary.org/obo/DOID_9423	1.0	1.0	8.0	65.0	26.0
http://purl.obolibrary.org/obo/DOID_13918	1.0	1.0	11.0	67.0	20.0
http://purl.obolibrary.org/obo/DOID_2145	5.0	13.0	26.0	44.0	11.0
http://purl.obolibrary.org/obo/DOID_7427	1.0	0.0	1.0	7.0	91.0
http://purl.obolibrary.org/obo/DOID_0110620	2.0	2.0	8.0	46.0	42.0
http://purl.obolibrary.org/obo/DOID_0111053	1.0	1.0	15.0	56.0	27.0
http://purl.obolibrary.org/obo/DOID_0060415	1.0	2.0	18.0	56.0	22.0
http://purl.obolibrary.org/obo/DOID_0110205	1.0	2.0	12.0	68.0	17.0
http://purl.obolibrary.org/obo/DOID_4731	1.0	0.0	7.0	42.0	50.0
http://purl.obolibrary.org/obo/DOID_0110631	4.0	9.0	19.0	53.0	15.0
http://purl.obolibrary.org/obo/DOID_7191	8.0	24.0	28.0	33.0	9.0
http://purl.obolibrary.org/obo/DOID_0060012	1.0	1.0	11.0	66.0	21.0
http://purl.obolibrary.org/obo/DOID_0060536	2.0	4.0	22.0	58.0	14.0
http://purl.obolibrary.org/obo/DOID_0060536	16.0	34.0	15.0	24.0	11.0
http://purl.obolibrary.org/obo/DOID_0060536	6.0	40.0	31.0	20.0	4.0
http://purl.obolibrary.org/obo/DOID_10844	2.0	1.0	3.0	39.0	55.0
http://purl.obolibrary.org/obo/DOID_10844	17.0	62.0	17.0	3.0	1.0
http://purl.obolibrary.org/obo/DOID_0111624	3.0	4.0	10.0	62.0	21.0
http://purl.obolibrary.org/obo/DOID_0110114	5.0	11.0	20.0	49.0	16.0
http://purl.obolibrary.org/obo/DOID_5521	7.0	21.0	16.0	45.0	12.0
http://purl.obolibrary.org/obo/DOID_0070025	3.0	7.0	21.0	57.0	12.0
http://purl.obolibrary.org/obo/DOID_0060824	1.0	1.0	9.0	61.0	28.0
http://purl.obolibrary.org/obo/DOID_0050529	1.0	1.0	8.0	68.0	22.0
http://purl.obolibrary.org/obo/DOID_0080042	2.0	1.0	9.0	45.0	44.0
http://purl.obolibrary.org/obo/DOID_0050096	2.0	3.0	14.0	52.0	30.0
http://purl.obolibrary.org/obo/DOID_0050861	2.0	7.0	27.0	54.0	10.0
http://purl.obolibrary.org/obo/DOID_0110034	2.0	5.0	19.0	59.0	15.0
http://purl.obolibrary.org/obo/DOID_12385	2.0	1.0	11.0	47.0	39.0
http://purl.obolibrary.org/obo/DOID_12385	1.0	2.0	19.0	62.0	16.0
http://purl.obolibrary.org/obo/DOID_4362	4.0	18.0	42.0	30.0	6.0
http://purl.obolibrary.org/obo/DOID_0040021	3.0	10.0	27.0	50.0	10.0
http://purl.obolibrary.org/obo/DOID_13867	1.0	1.0	16.0	60.0	22.0
http://purl.obolibrary.org/obo/DOID_13867	2.0	3.0	17.0	62.0	16.0
http://purl.obolibrary.org/obo/DOID_0070180	1.0	1.0	15.0	66.0	17.0
http://purl.obolibrary.org/obo/DOID_0110089	1.0	3.0	18.0	62.0	15.0
http://purl.obolibrary.org/obo/DOID_0110723	1.0	2.0	19.0	58.0	19.0
http://purl.obolibrary.org/obo/DOID_0060645	1.0	2.0	20.0	61.0	16.0
http://purl.obolibrary.org/obo/DOID_0050715	1.0	1.0	14.0	49.0	35.0
http://purl.obolibrary.org/obo/DOID_0070222	1.0	3.0	21.0	64.0	11.0
http://purl.obolibrary.org/obo/DOID_8302	4.0	11.0	26.0	49.0	10.0
http://purl.obolibrary.org/obo/DOID_0110664	2.0	4.0	18.0	50.0	25.0
http://purl.obolibrary.org/obo/DOID_5488	5.0	17.0	31.0	38.0	9.0
http://purl.obolibrary.org/obo/DOID_0080015	1.0	0.0	7.0	65.0	27.0
http://purl.obolibrary.org/obo/DOID_0080894	2.0	6.0	27.0	55.0	10.0
http://purl.obolibrary.org/obo/DOID_13417	3.0	6.0	25.0	54.0	12.0
http://purl.obolibrary.org/obo/DOID_12403	1.0	0.0	4.0	25.0	69.0
http://purl.obolibrary.org/obo/DOID_0070257	9.0	25.0	19.0	37.0	10.0
http://purl.obolibrary.org/obo/DOID_0081010	2.0	1.0	7.0	40.0	50.0
http://purl.obolibrary.org/obo/DOID_0110655	2.0	4.0	27.0	56.0	10.0
http://purl.obolibrary.org/obo/DOID_0080286	2.0	3.0	14.0	66.0	16.0
http://purl.obolibrary.org/obo/DOID_14225	2.0	9.0	36.0	45.0	7.0
http://purl.obolibrary.org/obo/DOID_2544	6.0	13.0	21.0	46.0	15.0
http://purl.obolibrary.org/obo/DOID_0110226	3.0	5.0	14.0	61.0	17.0
http://purl.obolibrary.org/obo/DOID_0090078	1.0	2.0	21.0	60.0	16.0
http://purl.obolibrary.org/obo/DOID_0090078	1.0	3.0	17.0	69.0	10.0
http://purl.obolibrary.org/obo/DOID_0060463	1.0	1.0	14.0	38.0	46.0
http://purl.obolibrary.org/obo/DOID_12357	1.0	3.0	26.0	60.0	10.0
http://purl.obolibrary.org/obo/DOID_12357	1.0	4.0	30.0	57.0	8.0
http://purl.obolibrary.org/obo/DOID_12357	1.0	1.0	15.0	56.0	28.0
http://purl.obolibrary.org/obo/DOID_3247	3.0	13.0	38.0	40.0	6.0
http://purl.obolibrary.org/obo/DOID_0112092	1.0	2.0	15.0	69.0	13.0
http://purl.obolibrary.org/obo/DOID_0050434	1.0	0.0	6.0	57.0	36.0
http://purl.obolibrary.org/obo/DOID_0060038	2.0	6.0	24.0	57.0	11.0
http://purl.obolibrary.org/obo/DOID_0050175	2.0	1.0	4.0	53.0	40.0
http://purl.obolibrary.org/obo/DOID_0050175	1.0	2.0	11.0	60.0	27.0
http://purl.obolibrary.org/obo/DOID_0050688	2.0	7.0	32.0	50.0	9.0
http://purl.obolibrary.org/obo/DOID_10615	11.0	53.0	26.0	8.0	3.0
http://purl.obolibrary.org/obo/DOID_9471	2.0	9.0	32.0	49.0	8.0
http://purl.obolibrary.org/obo/DOID_9471	1.0	7.0	34.0	50.0	7.0
http://purl.obolibrary.org/obo/DOID_0060202	2.0	4.0	17.0	62.0	16.0
http://purl.obolibrary.org/obo/DOID_0050288	1.0	1.0	13.0	38.0	48.0
http://purl.obolibrary.org/obo/DOID_0050660	1.0	1.0	13.0	55.0	29.0
http://purl.obolibrary.org/obo/DOID_4333	1.0	2.0	17.0	60.0	20.0
http://purl.obolibrary.org/obo/DOID_0111116	2.0	4.0	16.0	64.0	14.0
http://purl.obolibrary.org/obo/DOID_0111309	3.0	7.0	18.0	58.0	15.0
http://purl.obolibrary.org/obo/DOID_6367	1.0	1.0	12.0	57.0	28.0
http://purl.obolibrary.org/obo/DOID_0080477	1.0	3.0	19.0	62.0	14.0
http://purl.obolibrary.org/obo/DOID_0080440	1.0	2.0	17.0	57.0	23.0
http://purl.obolibrary.org/obo/DOID_0111510	1.0	1.0	12.0	46.0	41.0
http://purl.obolibrary.org/obo/DOID_0111510	13.0	21.0	12.0	38.0	17.0
http://purl.obolibrary.org/obo/DOID_0050166	2.0	4.0	23.0	58.0	12.0
http://purl.obolibrary.org/obo/DOID_4644	1.0	0.0	5.0	22.0	72.0
http://purl.obolibrary.org/obo/DOID_0110787	2.0	6.0	30.0	52.0	9.0
http://purl.obolibrary.org/obo/DOID_14450	1.0	1.0	14.0	53.0	30.0
http://purl.obolibrary.org/obo/DOID_0111097	1.0	3.0	22.0	60.0	13.0
http://purl.obolibrary.org/obo/DOID_0110420	1.0	2.0	13.0	64.0	20.0
http://purl.obolibrary.org/obo/DOID_9765	3.0	4.0	12.0	56.0	24.0
http://purl.obolibrary.org/obo/DOID_4990	2.0	3.0	20.0	60.0	15.0
http://purl.obolibrary.org/obo/DOID_4990	1.0	7.0	43.0	44.0	5.0
http://purl.obolibrary.org/obo/DOID_0060444	1.0	0.0	3.0	21.0	75.0
http://purl.obolibrary.org/obo/DOID_0060444	4.0	8.0	18.0	53.0	16.0
http://purl.obolibrary.org/obo/DOID_0111784	1.0	2.0	19.0	59.0	19.0
http://purl.obolibrary.org/obo/DOID_0111290	3.0	10.0	27.0	51.0	10.0
http://purl.obolibrary.org/obo/DOID_0080138	2.0	2.0	8.0	47.0	42.0
http://purl.obolibrary.org/obo/DOID_0090040	1.0	2.0	14.0	63.0	19.0
http://purl.obolibrary.org/obo/DOID_0060649	1.0	2.0	15.0	50.0	33.0
http://purl.obolibrary.org/obo/DOID_0080432	1.0	2.0	14.0	49.0	34.0
http://purl.obolibrary.org/obo/DOID_0111819	1.0	5.0	28.0	56.0	10.0
http://purl.obolibrary.org/obo/DOID_0060088	3.0	10.0	24.0	52.0	11.0
http://purl.obolibrary.org/obo/DOID_0111473	1.0	1.0	19.0	57.0	22.0
http://purl.obolibrary.org/obo/DOID_0111840	1.0	1.0	15.0	47.0	35.0
http://purl.obolibrary.org/obo/DOID_0111150	1.0	3.0	21.0	61.0	13.0
http://purl.obolibrary.org/obo/DOID_1725	3.0	13.0	46.0	33.0	5.0
http://purl.obolibrary.org/obo/DOID_0110753	2.0	10.0	35.0	46.0	7.0
http://purl.obolibrary.org/obo/DOID_12119	7.0	7.0	10.0	53.0	23.0
http://purl.obolibrary.org/obo/DOID_3664	3.0	11.0	32.0	46.0	8.0
http://purl.obolibrary.org/obo/DOID_5593	4.0	13.0	33.0	42.0	8.0
http://purl.obolibrary.org/obo/DOID_850	1.0	0.0	2.0	18.0	79.0
http://purl.obolibrary.org/obo/DOID_0080505	1.0	2.0	15.0	64.0	19.0
http://purl.obolibrary.org/obo/DOID_12387	1.0	2.0	19.0	63.0	14.0
http://purl.obolibrary.org/obo/DOID_0070142	1.0	1.0	13.0	49.0	36.0
http://purl.obolibrary.org/obo/DOID_0111321	3.0	8.0	24.0	54.0	11.0
http://purl.obolibrary.org/obo/DOID_884	3.0	8.0	20.0	54.0	15.0
http://purl.obolibrary.org/obo/DOID_884	2.0	7.0	23.0	57.0	11.0
http://purl.obolibrary.org/obo/DOID_884	9.0	59.0	22.0	8.0	2.0
http://purl.obolibrary.org/obo/DOID_0060903	3.0	5.0	14.0	58.0	20.0
http://purl.obolibrary.org/obo/DOID_0110285	3.0	7.0	23.0	55.0	12.0
http://purl.obolibrary.org/obo/DOID_0050218	5.0	9.0	14.0	52.0	19.0
http://purl.obolibrary.org/obo/DOID_5169	4.0	12.0	30.0	44.0	9.0
http://purl.obolibrary.org/obo/DOID_0060102	2.0	5.0	28.0	55.0	10.0
http://purl.obolibrary.org/obo/DOID_0060855	1.0	2.0	18.0	63.0	16.0
http://purl.obolibrary.org/obo/DOID_0070093	2.0	3.0	17.0	63.0	15.0
http://purl.obolibrary.org/obo/DOID_0111508	1.0	1.0	14.0	53.0	31.0
http://purl.obolibrary.org/obo/DOID_0111051	1.0	1.0	16.0	58.0	24.0
http://purl.obolibrary.org/obo/DOID_0080642	2.0	3.0	19.0	54.0	22.0
http://purl.obolibrary.org/obo/DOID_0080102	4.0	6.0	13.0	53.0	23.0
http://purl.obolibrary.org/obo/DOID_0110198	1.0	1.0	16.0	64.0	18.0
http://purl.obolibrary.org/obo/DOID_0050728	1.0	2.0	19.0	61.0	17.0
http://purl.obolibrary.org/obo/DOID_11968	1.0	3.0	20.0	65.0	11.0
http://purl.obolibrary.org/obo/DOID_0111434	1.0	2.0	17.0	64.0	16.0
http://purl.obolibrary.org/obo/DOID_857	4.0	9.0	19.0	53.0	15.0
http://purl.obolibrary.org/obo/DOID_0060459	4.0	10.0	24.0	50.0	12.0
http://purl.obolibrary.org/obo/DOID_0111611	1.0	1.0	12.0	53.0	33.0
http://purl.obolibrary.org/obo/DOID_2001	2.0	5.0	23.0	58.0	12.0
http://purl.obolibrary.org/obo/DOID_0111184	1.0	0.0	6.0	21.0	70.0
http://purl.obolibrary.org/obo/DOID_0060481	1.0	1.0	8.0	58.0	32.0
http://purl.obolibrary.org/obo/DOID_0110951	2.0	3.0	15.0	64.0	17.0
http://purl.obolibrary.org/obo/DOID_0110675	2.0	4.0	19.0	51.0	24.0
http://purl.obolibrary.org/obo/DOID_4206	1.0	2.0	15.0	58.0	24.0
http://purl.obolibrary.org/obo/DOID_0110917	2.0	7.0	29.0	53.0	10.0
http://purl.obolibrary.org/obo/DOID_12206	2.0	2.0	12.0	59.0	25.0
http://purl.obolibrary.org/obo/DOID_12206	1.0	2.0	13.0	63.0	20.0
http://purl.obolibrary.org/obo/DOID_0111907	1.0	2.0	20.0	63.0	14.0
http://purl.obolibrary.org/obo/DOID_0050719	1.0	0.0	7.0	28.0	64.0
http://purl.obolibrary.org/obo/DOID_0110023	1.0	2.0	18.0	64.0	16.0
http://purl.obolibrary.org/obo/DOID_0070164	1.0	2.0	24.0	64.0	9.0
http://purl.obolibrary.org/obo/DOID_0110305	2.0	3.0	13.0	66.0	16.0
http://purl.obolibrary.org/obo/DOID_0080256	2.0	1.0	7.0	40.0	51.0
http://purl.obolibrary.org/obo/DOID_0112024	2.0	2.0	17.0	54.0	25.0
http://purl.obolibrary.org/obo/DOID_0111612	1.0	2.0	15.0	61.0	21.0
http://purl.obolibrary.org/obo/DOID_0050304	2.0	2.0	10.0	66.0	20.0
http://purl.obolibrary.org/obo/DOID_0040015	3.0	10.0	27.0	50.0	10.0
http://purl.obolibrary.org/obo/DOID_0050530	1.0	1.0	12.0	67.0	19.0
http://purl.obolibrary.org/obo/DOID_3770	1.0	0.0	4.0	10.0	84.0
http://purl.obolibrary.org/obo/DOID_6641	2.0	4.0	24.0	56.0	15.0
http://purl.obolibrary.org/obo/DOID_0050655	2.0	1.0	10.0	46.0	41.0
http://purl.obolibrary.org/obo/DOID_0050718	2.0	3.0	14.0	65.0	15.0
http://purl.obolibrary.org/obo/DOID_0060017	2.0	3.0	14.0	64.0	17.0
http://purl.obolibrary.org/obo/DOID_0060017	2.0	3.0	17.0	63.0	16.0
http://purl.obolibrary.org/obo/DOID_13481	1.0	3.0	25.0	59.0	12.0
http://purl.obolibrary.org/obo/DOID_0110734	1.0	2.0	19.0	55.0	23.0
http://purl.obolibrary.org/obo/DOID_0110629	1.0	0.0	6.0	42.0	51.0
http://purl.obolibrary.org/obo/DOID_0050770	12.0	27.0	15.0	35.0	11.0
